heading,desc
Heavy-Duty Compressor Blanket,"Inside every AirEase package unit, you’ll find a compressor that’s wrapped in a heavy-duty, sound-insulating blanket to reduce operating noise to as low as 68 dB.**** So you’ll enjoy peace and quiet with your comfort."
Swept-Wing Fan Blade,Swept-wing fan blades on the condenser fan pull air over the coil surface for efficient heat transfer. This unique design also means our units operate with sound levels as low as 68 dB.****
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Tilted Heat Exchanger,"By tilting the heat exchanger, the Tri-Diamond design eliminates issues caused by condensation developed during the cooling season. As a result, these units start up when they're supposed to, year after year."
Warranty,AirEase's commitment to a better product is backed by a Limited Lifetime Warranty on the aluminized steel heat exchanger and a 10-Year Limited Warranty on parts.
High Efficiency Ratings*,"PRPDF16 units offer efficiency ratings of up to 16.00 SEER, 8.2 HSPF and 81% AFUE**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***"
Dedicated Dual-Fuel System,"The combination of a gas furnace and an electric heat pump helps control heating costs by seamlessly alternating between the two energy sources, depending outdoor conditions. On mild days, the heat pump cost-effectively keeps you warm. When the temperature becomes cold, the system will automatically switch to gas heating and alternate back to electric heat pump operation to maintain your set temperature. Energy-saving performance is maintained through all transitions, and no heat strips are needed."
Variable-Speed Operation,"By changing the speed of its airflow during start-up, your package unit can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
High Efficiency Ratings*,"PRPDF16 units offer efficiency ratings of up to 16.00 SEER, 8.2 HSPF and 81% AFUE**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***"
Up to 15.2 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 8.2 HSPF Efficiency Rating*,"HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 6.7 HSPF2 Efficiency,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates"
Dedicated Dual-Fuel System,"The combination of a gas furnace and an electric heat pump helps control heating costs by seamlessly alternating between the two energy sources, depending outdoor conditions. On mild days, the heat pump cost-effectively keeps you warm. When the temperature becomes cold, the system will automatically switch to gas heating and alternate back to electric heat pump operation to maintain your set temperature. Energy-saving performance is maintained through all transitions, and no heat strips are needed."
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
Dedicated Air Purifier,"UVA lamp accessory can be easily integrated into the unit to attack microorganisms like mold and bacteria, preventing them from circulating through your air. It makes your home a healthier place to be."
"Multi-Stage, Dual-Fuel Operation",At the heart of the dual-fuel system is an advanced compressor that has two stages of cooling and three stages of heating to precisely maintain your set temperature. This also helps keep humidity levels balanced throughout your home.
Variable-Speed Operation,"By changing the speed of its airflow during start-up, your package unit can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
All-in-One Design,"Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum."
Vibration Reduction,"Each compressor was constructed with rubber pads to reduce vibration during operation. Less vibration lowers sound, so your outdoor entertaining is not interrupted."
Heavy-Duty Compressor Blanket,"Inside every AirEase package unit, you’ll find a compressor that’s wrapped in a heavy-duty, sound-insulating blanket to reduce operating noise to as low as 68 dB.**** So you’ll enjoy peace and quiet with your comfort."
Swept-Wing Fan Blade,Swept-wing fan blades on the condenser fan pull air over the coil surface for efficient heat transfer. This unique design also means our units operate with sound levels as low as 68 dB.****
Built-In Pest Control,"Even during the off-season, AirEase packaged units periodically cycle on the heating components. This creates an inhospitable environment for birds, rodents and insects, keeping them from nesting inside."
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Warranty,AirEase's commitment to a better product is backed by a Limited Lifetime Warranty on the aluminized steel heat exchanger and a 10-Year Limited Warranty on parts.
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
81% AFUE Efficiency Rating,"Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs."
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 13.4 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
81% AFUE Efficiency Rating,"Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs."
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
Constant Torque Blow Motor,"The single-speed blower maintains the right amount of airflow, providing better efficiency."
Ultra Low NOx model available,
All-in-One Design,"Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum."
Vibration Reduction,"Each compressor was constructed with rubber pads to reduce vibration during operation. Less vibration lowers sound, so your outdoor entertaining is not interrupted."
Built-In Pest Control,"Even during the off-season, AirEase packaged units periodically cycle on the heating components. This creates an inhospitable environment for birds, rodents and insects, keeping them from nesting inside."
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Tilted Heat Exchanger,"By tilting the heat exchanger, the Tri-Diamond design eliminates issues caused by condensation developed during the cooling season. As a result, these units start up when they're supposed to, year after year."
Warranty,AirEase's commitment to a better product is backed by a Limited Lifetime Warranty on the aluminized steel heat exchanger and a 10-Year Limited Warranty on parts.
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 13.4 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 8.0 HSPF Efficiency Rating*,"HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 6.7 HSPF2 Efficiency,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates"
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 13.4 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 8.0 HSPF Efficiency Rating*,"HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 6.7 HSPF2 Efficiency,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates"
Constant Torque Blow Motor,"The single-speed blower maintains the right amount of airflow, providing better efficiency."
Single-Stage Compressor,"A time-proven design chosen for its consistent performance, incredible durability and long operating live, the single-stage compressor works hard year after year."
All-in-One Design,"Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum."
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
Vibration Reduction,"Each compressor was constructed with rubber pads to reduce vibration during operation. Less vibration lowers sound, so your outdoor entertaining is not interrupted."
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Up to 14 SEER Efficiency Rating*,"SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving you money on utility bills."
Up to 13.4 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Constant Torque Blow Motor,"The single-speed blower maintains the right amount of airflow, providing better efficiency."
Single-Stage Compressor,"A time-proven design chosen for its consistent performance, incredible durability and long operating live, the single-stage compressor works hard year after year."
All-in-One Design,"Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum."
Vibration Reduction,"Each compressor was constructed with rubber pads to reduce vibration during operation. Less vibration lowers sound, so your outdoor entertaining is not interrupted."
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your air handler can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your air handler can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Maximum Control,The BCE4S gives you maximum control of the airflow in your home. Designed to work with a matched unit—like the 20LX air conditioner or heat pump—the BCE4S also provides precise control over every aspect of your home environment.
Pro Series™ Systems,"Pair this model with a Pro Series™ heat pump or air conditioner and a Comfort Sync thermostat, for optimum performance. With the Pro Series, you’re in control of every aspect of your home’s climate, as well as your energy costs. Explore the AirEase Pro Series™."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
One-Touch Away Mode,Puts your system into an enhanced energy-saving modewhen you leave.
Remote Access,"Allows you to check and adjust your home’s temperature from anywhere using your laptop, smartphone, tablet or other connected device."
Weather Data,"Using its connection to your wireless network, the Comfort Sync® A3 Thermostat can display a five-day forecast and live weather alerts."
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Two-Piece Cabinet Design,Makes the entire cabinet stronger and stiffer for greater structural integrity. Foam rubber gaskets create a tighter seal along panels and doors.
Constant Torque Motor,"Like a variable speed air handlers, constant torque air handlers provide lower operating costs and increase overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation."
Highly Consistent Performance,"Compared to single-speed motors, the constant-torque motor of the BCE3E unit delivers more consistent airflow and quieter operation. Delivering daily energy savings, the BCE3E may qualify you for energy incentives."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Constant Torque Motor,"Like a variable speed air handlers, constant torque air handlers provide lower operating costs and increase overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation."
Highly Consistent Performance,"Compared to single-speed motors, the constant-torque motor of the BCE3E unit delivers more consistent airflow and quieter operation. Delivering daily energy savings, the BCE3E may qualify you for energy incentives."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Optional Heat Strips,Dealer-installed heat strips add supplemental heat on extremely cold days.
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Advanced Drain Pan Design,These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your air handler can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Performance and Control,"The BCE3V is designed for efficiency and built to the highest quality standards. The advanced variable-speed motor and other smartly engineered components give you precise temperature control, balanced humidity and lower noise levels and energy usage, compared to single-speed models."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Performance and Control,"The BCE3V is designed for efficiency and built to the highest quality standards. The advanced variable-speed motor and other smartly engineered components give you precise temperature control, balanced humidity and lower noise levels and energy usage, compared to single-speed models."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your air handler can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Optional Heat Strips,Dealer-installed heat strips add supplemental heat on extremely cold days.
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Advanced Drain Pan Design,These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Constant Torque Motor,"Like a variable speed air handlers, constant torque air handlers provide lower operating costs and increase overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation."
Highly Consistent Performance,"Compared to single-speed motors, the constant-torque motor of the BCE3E unit delivers more consistent airflow and quieter operation. Delivering daily energy savings, the BCE3E may qualify you for energy incentives."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Constant Torque Motor,"Like a variable speed air handlers, constant torque air handlers provide lower operating costs and increase overall system efficiency. Compared to standard PSC motors, constant torque delivers more consistent airflow and quieter operation."
Highly Consistent Performance,"Compared to single-speed motors, the constant-torque motor of the BCE3E unit delivers more consistent airflow and quieter operation. Delivering daily energy savings, the BCE3E may qualify you for energy incentives."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Optional Heat Strips,Dealer-installed heat strips add supplemental heat on extremely cold days.
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Advanced Drain Pan Design,These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Single-Speed Fan Motor,Permanent Split Capacitor (PSC) motor keeps air flowing efficiently and is engineered to deliver the highest levels of reliability.
Every Day Performance,"Reliable and efficient, the BCE3C single-speed air handler delivers every day performance and consistent energy savings. They’re engineered to keep air flowing efficiently, and a tight cabinet seal minimizes leakage."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Advanced Drain Pan Design,These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Every Day Performance,"Reliable and efficient, the BCE3C single-speed air handler delivers every day performance and consistent energy savings. They’re engineered to keep air flowing efficiently, and a tight cabinet seal minimizes leakage."
Single-Speed Fan Motor,Permanent Split Capacitor (PSC) motor keeps air flowing efficiently and is engineered to deliver the highest levels of reliability.
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Optional Heat Strips,Dealer-installed heat strips add supplemental heat on extremely cold days.
Insulated Cabinet,"Prevents loss of conditioned air while reducing noise from the motor. This cabinet provides a thermal barrier, achieving less than 2% air leakage."
Omniguard® Total Corrosion Protection Technology,"Select AirEase air handler units feature Omniguard Total Corrosion Protection Technology, offering improved corrosion protection compared to traditional coils and preserving the life of your systemfor years to come."
Advanced Drain Pan Design,These air handlers features the industry's lowest water retention rate for extremely effective condensate removal.
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Internal Bracing,Makes the entire cabinet stronger and stiffer for greater structural integrity and tighter seal along panels and doors.
Sleeved Distributor Tubes,The protective wrapper prevents copper-to-copper contact that over time can lead to refrigerant leaks in your system.
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your electric furnace can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise"
Consistent Comfort Control,"The EFV’s variable-speed motor delivers consistent temperatures, air quality and humidity levels. Reliable and efficient, the EFV gives you more performance and lower energy bills."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your electric furnace can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise"
Consistent Comfort Control,"The EFV’s variable-speed motor delivers consistent temperatures, air quality and humidity levels. Reliable and efficient, the EFV gives you more performance and lower energy bills."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Electric Furnace,When a gas furnace is not an option for your home.
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Variable Speed Blower Motor,This motor gradually ramps up and down significantly reducing the sound of air moving through ductwork.
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Factory-installed TXV,Optimized to deliver the right amount of refrigerant providing high-efficiency and energy savings every day.
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Factory-installed TXV,Optimized to deliver the right amount of refrigerant providing high-efficiency and energy savings every day.
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
MHT™ Technology,"AirEase coils feature rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
